Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Indonesia,IDN,Agricultural land (sq. km),AG.LND.AGRI.K2,556000,556000,565000,565000,570000,570000,570000,..,..
Indonesia,IDN,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,4.526482788,6.539272207,7.520474426,5.940110118,5.799761559,4.827440464,4.932730462,4.766737964,5.378674863
Indonesia,IDN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,40.4679985,39.14899826,37.19300079,35.93099976,34.97499847,34.2820015,33.04399872,31.81999969,31.17000008
Indonesia,IDN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,103.4784951,105.9402353,113.830429,118.1671659,121.3585887,127.5520361,120.2668153,130.2360755,..
Indonesia,IDN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,17.2996369,16.36401528,16.32716422,17.91676722,17.66986981,20.27790167,21.65173456,22.48982545,23.44098932
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.628871183,6.223854181,6.169784208,6.030050653,5.557263689,5.006668426,4.8763223,5.033279592,5.067680274
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 10/18/2018,,,,,,,,,,,,
